course_id,course_name,course_link,course_landing_page,created_time
1,Microsoft Excel - Excel from Beginner to Advanced,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/, https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/
2,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,19/05/20 22:23
3,Complete Python Bootcamp,https://www.udemy.com/course/complete-python-bootcamp/,https://www.udemy.com/course/complete-python-bootcamp/,19/05/20 22:23
4,Java Basics: Learn to Code the Right Way,https://www.udemy.com/course/learn-java-programming/,https://www.udemy.com/course/learn-java-programming/,19/05/20 22:23
